Name,TrialNumber,T-TrialStart,Probability,TaskLevel,T-DecisionMade,Reward,CompleteLevel,CompleteStatus,T-TaskComplete,WinningStatus
sub1,1,2023-02-28 13:35:44.848,12,0,2023-02-28 13:35:45.481,1,23,1,2023-02-28 13:35:51.522,0
sub1,2,2023-02-28 09:48:30.037,12,0,2023-02-28 09:48:32.934,1,23,1,2023-02-28 09:48:36.298,0
sub1,3,2023-02-28 13:44:22.425,12,0,2023-02-28 13:44:22.909,1,23,1,2023-02-28 13:44:28.689,0
